,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,https://tripadvisor.com
0,Martine of Martine's Table,Amsterdam,"'French', 'Dutch', 'European'",1,5,$$ - $$$,136,"'Just like home', 'A Warm Welcome to Wintry Amsterdam', '01/03/2018', '01/01/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d11752080-Reviews-Martine_of_Martine_s_Table-Amsterdam_North_Holland_Province.html
1,De Silveren Spiegel,Amsterdam,"'Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options'",2,4.5,$$$$,812,"'Great food and staff', 'just perfect', '01/06/2018', '01/04/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d693419-Reviews-De_Silveren_Spiegel-Amsterdam_North_Holland_Province.html
2,La Rive,Amsterdam,"'Mediterranean', 'French', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options'",3,4.5,$$$$,567,"'Satisfaction', 'Delicious old school restaurant', '01/04/2018', '01/04/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d696959-Reviews-La_Rive-Amsterdam_North_Holland_Province.html
3,Vinkeles,Amsterdam,https,4,5,$$$$,564,"'True five star dinner', 'A superb evening of fine dining, hospitali...', '12/20/2017', '12/17/2017'",https://tripadvisor.com/Restaurant_Review-g188590-d1239229-Reviews-Vinkeles-Amsterdam_North_Holland_Province.html
4,Librije's Zusje Amsterdam,Amsterdam,"'Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",5,4.5,$$$$,316,"'Best meal.... EVER', 'super food experience', '01/06/2018', '01/04/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html
5,Ciel Bleu Restaurant,Amsterdam,"'Contemporary', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",6,4.5,$$$$,745,"'A treat!', 'Wow just Wow', '01/01/2018', '12/26/2017'",https://tripadvisor.com/Restaurant_Review-g188590-d696902-Reviews-Ciel_Bleu_Restaurant-Amsterdam_North_Holland_Province.html
6,Zaza's,Amsterdam,"'French', 'International', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",7,4.5,$$ - $$$,1455,"'40th Birthday with my Family', 'One of the best meals ever!', '01/07/2018', '01/05/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d1014732-Reviews-Zaza_s-Amsterdam_North_Holland_Province.html
7,Blue Pepper Restaurant And Candlelight Cruises,Amsterdam,"'Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",8,4.5,$$$$,675,"'Great Experience', 'A true delight', '01/08/2018', '01/07/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d697058-Reviews-Blue_Pepper_Restaurant_And_Candlelight_Cruises-Amsterdam_North_Holland_Province.html
8,Teppanyaki Restaurant Sazanka,Amsterdam,"'Japanese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",9,4.5,$$$$,923,"'Great Food & Service!', 'Superior food and exciting setting around...', '12/30/2017', '12/29/2017'",https://tripadvisor.com/Restaurant_Review-g188590-d697009-Reviews-Teppanyaki_Restaurant_Sazanka-Amsterdam_North_Holland_Province.html
9,Rob Wigboldus Vishandel,Amsterdam,"'Dutch', 'Seafood', 'Fast Food'",10,4.5,$,450,"'Excellent Herring', 'Lovely, rustic fish shop in the smack of A...', '01/09/2018', '01/06/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d1955652-Reviews-Rob_Wigboldus_Vishandel-Amsterdam_North_Holland_Province.html
10,The Happy Bull,Amsterdam,"'American', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options'",11,4.5,$$ - $$$,295,"'Simply AMAZING!', 'Delicious Burgers', '01/01/2018', '11/22/2017'",https://tripadvisor.com/Restaurant_Review-g188590-d10275170-Reviews-The_Happy_Bull-Amsterdam_North_Holland_Province.html
11,Gartine,Amsterdam,"'French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",12,4.5,$$ - $$$,967,"'A hidden gem', 'Fantastic!', '01/06/2018', '01/05/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d1014753-Reviews-Gartine-Amsterdam_North_Holland_Province.html
12,Restaurant Adam,Amsterdam,"'French', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",13,4.5,$$$$,368,"'Love it!', 'As pure as Paradise: Adam!', '01/10/2018', '12/18/2017'",https://tripadvisor.com/Restaurant_Review-g188590-d7695005-Reviews-Restaurant_Adam-Amsterdam_North_Holland_Province.html
13,Biercafe Gollem,Amsterdam,"'Bar', 'Pub'",14,4.5,$$ - $$$,586,"'Awesome little pub', 'An amazing little place with a vast choice...', '12/17/2017', '12/13/2017'",https://tripadvisor.com/Restaurant_Review-g188590-d3893242-Reviews-Biercafe_Gollem-Amsterdam_North_Holland_Province.html
14,Restaurant Daalder,Amsterdam,"'French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",15,4.5,$$$$,1246,"'Best meal of our trip', 'It was like falling in love..', '01/09/2018', '01/07/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d1408533-Reviews-Restaurant_Daalder-Amsterdam_North_Holland_Province.html
15,Greenwoods Keizersgracht,Amsterdam,"'Dutch', 'Cafe', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options'",16,4.5,$$ - $$$,1391,"'So. Much. Food', 'Hidden Gem', '01/10/2018', '01/10/2018'",https://tripadvisor.com/Restaurant_Review-g188590-d3200493-Reviews-Greenwoods_Keizersgracht-Amsterdam_North_Holland_Province.html
